MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135057018907,18.25,0.13,192.42624,34.82478,53526.19899,0
1135057018907,18.32,0.13,192.42634,34.82475,53526.20721,0
1135057018907,18.50,0.14,192.42614,34.82491,53526.21539,0
1135057018907,18.51,0.14,192.42628,34.82466,53526.22360,0
1135057018907,18.42,0.13,192.42649,34.82482,53534.16428,0
1135057018907,18.52,0.14,192.42631,34.82485,53534.17249,0
1135057018907,18.53,0.14,192.42628,34.82478,53534.18067,0
1135057018907,18.58,0.14,192.42624,34.82457,53534.18883,0
1135057018907,18.74,0.17,192.42601,34.82471,53833.22847,0
1135057018907,18.35,0.14,192.42646,34.82463,53833.23725,0
1135057018907,18.64,0.16,192.42648,34.82481,53833.24597,0
1135057018907,18.35,0.14,192.42608,34.82480,53833.25469,0
1135057018907,18.51,0.14,192.42623,34.82484,53852.25651,0
1135057018907,18.35,0.13,192.42618,34.82467,53852.26383,0
1135057018907,18.25,0.13,192.42630,34.82496,53852.27112,0
1135057018907,18.62,0.15,192.42619,34.82481,53852.27833,0
1135057018907,18.51,0.14,192.42628,34.82481,53770.40558,0
1135057018907,18.45,0.14,192.42640,34.82485,53770.41416,0
1135057018907,18.50,0.14,192.42640,34.82479,53770.42281,0
1135057018907,18.68,0.15,192.42617,34.82471,53770.43153,0
1135057018907,18.71,0.17,192.42635,34.82452,53746.36624,0
1135057018907,18.61,0.16,192.42628,34.82444,53746.37267,0
1135057018907,18.65,0.16,192.42630,34.82447,53746.38551,0
1135057018907,18.49,0.14,192.42633,34.82488,53887.23357,0
1135057018907,18.39,0.13,192.42645,34.82468,53796.34158,0
1135057018907,18.56,0.14,192.42631,34.82485,53796.35025,0
1135057018907,18.08,0.12,192.42633,34.82463,53796.35889,0
1135057018907,18.42,0.13,192.42627,34.82469,53796.36766,0
1135057018907,18.56,0.17,192.42599,34.82445,53803.33648,0
1135057018907,18.60,0.17,192.42659,34.82507,53803.34338,0
1135057018907,18.53,0.17,192.42637,34.82504,53803.35037,0
1135057018907,19.04,0.22,192.42627,34.82461,53803.35755,0
1135057018907,18.27,0.13,192.42632,34.82465,53823.24135,0
1135057018907,18.54,0.15,192.42636,34.82464,53823.24997,0
1135057018907,18.33,0.16,192.42640,34.82459,53823.25862,0
1135057018907,18.55,0.16,192.42618,34.82479,53823.26726,0
1135057018907,18.38,0.13,192.42671,34.82504,53861.22996,0
1135057018907,18.49,0.14,192.42623,34.82475,53861.23842,0
1135057018907,18.64,0.15,192.42628,34.82479,53861.24641,0
1135057018907,18.54,0.14,192.42651,34.82492,53861.25418,0
1135057018907,19.23,0.59,192.42571,34.82433,53866.32004,0
1135057018907,18.82,0.46,192.42597,34.82434,53866.32078,0
1135057018907,19.21,0.59,192.42664,34.82524,53866.32161,0
1135057018907,18.26,0.13,192.42645,34.82466,54209.29622,0
1135057018907,18.29,0.12,192.42623,34.82465,54209.30426,0
1135057018907,18.64,0.14,192.42629,34.82472,54209.31235,0
1135057018907,18.25,0.12,192.42642,34.82462,54209.32044,0
1135057018907,18.37,0.13,192.42631,34.82484,54156.29915,0
1135057018907,18.41,0.13,192.42636,34.82480,54156.30781,0
1135057018907,18.40,0.13,192.42634,34.82483,54156.31647,0
1135057018907,18.11,0.11,192.42613,34.82488,54156.32514,0
1135057018907,18.53,0.15,192.42634,34.82462,54265.23229,0
1135057018907,18.32,0.13,192.42605,34.82473,54265.24151,0
1135057018907,18.32,0.13,192.42627,34.82461,54265.25078,0
1135057018907,18.71,0.16,192.42620,34.82460,54265.26005,0
1135057018907,18.45,0.12,192.42629,34.82481,54272.16339,0
1135057018907,18.41,0.12,192.42612,34.82467,54272.17128,0
1135057018907,18.41,0.12,192.42618,34.82481,54272.17916,0
1135057018907,18.22,0.11,192.42607,34.82484,54272.18708,0
1135057018907,18.73,0.15,192.42633,34.82476,54169.31639,0
1135057018907,18.41,0.13,192.42639,34.82446,54169.32680,0
1135057018907,18.81,0.15,192.42619,34.82465,54169.33718,0
1135057018907,18.59,0.14,192.42626,34.82485,54169.34776,0
1135057018907,18.47,0.13,192.42626,34.82460,54176.24407,0
1135057018907,18.71,0.15,192.42635,34.82471,54176.25169,0
1135057018907,18.49,0.13,192.42624,34.82478,54176.25924,0
1135057018907,18.55,0.14,192.42637,34.82478,54176.26681,0
1135057018907,18.40,0.13,192.42644,34.82463,54232.30820,0
1135057018907,18.38,0.13,192.42645,34.82466,54232.31470,0
1135057018907,18.66,0.15,192.42612,34.82466,54232.32123,0
1135057018907,18.43,0.14,192.42640,34.82497,54232.32778,0
1135057018907,18.24,0.12,192.42643,34.82484,54245.20238,0
1135057018907,18.40,0.13,192.42611,34.82477,54245.21173,0
1135057018907,18.23,0.12,192.42615,34.82484,54245.22117,0
1135057018907,18.38,0.13,192.42619,34.82476,54245.23041,0
1135057018907,18.37,0.13,192.42625,34.82487,54559.25802,0
1135057018907,18.46,0.13,192.42654,34.82485,54559.26200,0
1135057018907,18.72,0.15,192.42631,34.82484,54559.26595,0
1135057018907,18.71,0.15,192.42631,34.82482,54559.26990,0
1135057018907,18.67,0.15,192.42616,34.82464,54566.34483,0
1135057018907,18.71,0.15,192.42625,34.82467,54566.35302,0
1135057018907,18.77,0.15,192.42610,34.82487,54566.36140,0
1135057018907,18.38,0.13,192.42679,34.82498,54566.36978,0
1135057018907,18.37,0.13,192.42615,34.82490,54571.19959,0
1135057018907,18.50,0.13,192.42676,34.82505,54571.20642,0
1135057018907,18.91,0.16,192.42635,34.82471,54571.21327,0
1135057018907,18.58,0.14,192.42630,34.82482,54571.22016,0
1135057018907,18.54,0.14,192.42621,34.82486,54584.17840,0
1135057018907,18.49,0.13,192.42652,34.82498,54584.18940,0
1135057018907,17.92,0.11,192.42608,34.82508,54584.19587,0
1135057018907,18.69,0.15,192.42628,34.82481,54584.20233,0
1135057018907,18.72,0.16,192.42625,34.82471,54807.48111,0
