objID,detectID,filterID,randomDetID,obsTime,ra,dec,raErr,decErr,extNSigma,airMass,psfFlux,psfFluxErr,psfMajorFWHM,psfMinorFWHM,psfTheta,psfCore,psfQf,psfQfPerfect,psfChiSq,psfLikelihood,apFlux,apFluxErr,apFillF,apRadius,kronFlux,kronFluxErr,kronRad,sky,skyErr,infoFlag,infoFlag2,infoFlag3
149791924262400262,268137174350000128,2,0.547535697508171,56782.3720102,192.42621143,34.82472277,0.023433800786733627,0.022070499137043953,2.4908299446105957,1.0397700071334839,8.286390220746398e-05,1.9111998881271575e-06,1.7525800466537476,1.635849952697754,-18.09269905090332,0.12475600093603134,0.9694610238075256,0.9694610238075256,1.1320699453353882,0.012744399718940258,9.131719707511365e-05,1.0233000011794502e-06,0.7385780215263367,4.108429908752441,8.262009941972792e-05,2.669889909157064e-06,3.139859914779663,1.667360083956737e-05,1.9768299353017937e-06,102760453,128,7342144
149791924262400262,268139331350000154,2,0.465549033568752,56782.3935814,192.42620628,34.82473763,0.01162640005350113,0.01162640005350113,3.130229949951172,1.0641299486160278,8.904589776648208e-05,1.8950099729408976e-06,1.5119999647140503,1.4820499420166016,-22.033899307250977,0.545216977596283,0.9967949986457825,0.9967949986457825,1.2236700057983398,0.0017467100406065583,0.00010252799984300509,1.0978000091199647e-06,0.8926820158958435,3.8515501022338867,9.432609658688307e-05,2.9523600915126735e-06,3.332429885864258,1.628659993002657e-05,2.007830062211724e-06,102776839,128,124782656
149791924262400262,259660362160000120,1,0.831134011811702,56697.6038796,192.42621146,34.82473244,0.03066059947013855,0.03203649818897247,-0.3733440041542053,1.0396100282669067,7.600060052936897e-05,2.2410099518310744e-06,1.6851799488067627,1.5654699802398682,-60.06890106201172,0.7095530033111572,0.9989609718322754,0.9989609718322754,1.144029974937439,-0.7088919878005981,8.003279799595475e-05,1.1822600072264322e-06,0.9262930154800415,4.34984016418457,7.121390081010759e-05,3.165620000800118e-06,3.414139986038208,6.695349838992115e-06,1.9687799976964016e-06,102760517,128,7342144
149791924262400262,259661413160000133,1,0.34186969170521,56697.6143912,192.42620913,34.82471731,0.04007299989461899,0.03988330066204071,0.3728109896183014,1.0493600368499756,7.940459909150377e-05,2.4165299237211e-06,2.1592600345611572,1.9519799947738647,-43.752498626708984,0.41664499044418335,0.9990220069885254,0.9990220069885254,1.1593999862670898,0.709289014339447,8.339239866472781e-05,1.179490027425345e-06,0.9382179975509644,5.117179870605469,7.936269685160369e-05,3.4972899811691605e-06,3.8717501163482666,6.706779913656646e-06,2.009579930017935e-06,102760517,128,7342144
149791924262400262,264239835220000104,1,0.425243823253777,56743.3986102,192.42619647,34.82472724,0.01588200032711029,0.013444099575281143,-0.7524769902229309,1.0857599973678589,7.08207007846795e-05,1.4791399962632568e-06,1.3983299732208252,1.184749960899353,14.697699546813965,-0.28788599371910095,0.9991289973258972,0.33935099840164185,1.2865300178527832,-0.45176398754119873,6.829180347267538e-05,1.039220023812959e-06,0.8681179881095886,2.824690103530884,6.284860137384385e-05,1.8514200519348378e-06,2.2298600673675537,5.364940079743974e-06,1.7444100421926123e-06,102760517,160,34880
149791924262400262,264240976220000110,1,0.155472389567152,56743.410027,192.42621329,34.82471686,0.01263479981571436,0.0120344003662467,0.2194029986858368,1.0655200481414795,7.573759648948908e-05,1.462540012653335e-06,1.2579100131988525,1.1965399980545044,6.7713799476623535,-0.3578999936580658,0.9979299902915955,0.9836159944534302,1.1874899864196777,0.8263360261917114,7.700349669903517e-05,1.1050100283682696e-06,0.8849009871482849,2.567919969558716,7.131930033210665e-05,1.914120048240875e-06,2.289560079574585,5.305600097926799e-06,1.7273099501835532e-06,102760517,128,7374912
149791924262400262,148150141360000280,5,0.692897752572687,55582.5015969,192.42628355,34.82471373,0.044772498309612274,0.044772498309612274,6.938910007476807,1.3907599449157715,0.00013110200234223157,1.07632004073821e-05,1.3592400550842285,1.2926900386810303,-13.894800186157227,0.341729998588562,0.9984490275382996,0.9984490275382996,1.0323899984359741,3.951380021793849e-12,0.0002061139966826886,3.74341993847338e-06,0.8819839954376221,3.0757899284362793,0.00019356899429112673,1.9606899513746612e-05,2.807070016860962,0.00024254499294329435,1.5214999621093739e-05,35667969,0,7374912
149791924262400262,148151159360000327,5,0.451246716502352,55582.5117792,192.42622694,34.8247352,0.04079490154981613,0.04079490154981613,2.8855700492858887,1.3256100416183472,0.00013267199392430484,9.925500307872426e-06,1.2652000188827515,1.1510499715805054,-41.020301818847656,0.30692899227142334,0.9978669881820679,0.9978669881820679,1.0443400144577026,0.003907099831849337,0.00016146499547176063,3.313750084998901e-06,0.8917940258979797,2.81919002532959,0.0001439969928469509,1.7861000742414035e-05,2.6364200115203857,0.0002295299927936867,1.4636600099038333e-05,35651585,0,7374912
149791924262400262,148461784650000277,4,0.0158870751186154,55585.6180307,192.42624431,34.82471808,0.03502630069851875,0.04398160055279732,-3.8581299781799316,1.032039999961853,7.629649917362258e-05,3.390829988347832e-06,1.2774800062179565,1.2588599920272827,38.331600189208984,0.30593401193618774,0.7454410195350647,0.7454410195350647,1.128559947013855,-0.00011425899720052257,5.0399601605022326e-05,1.1157700328112696e-06,0.4708330035209656,3.074690103530884,-999.0,-999.0,-999.0,3.368690158822574e-05,4.159120180702303e-06,102760453,128,32768
149791924262400262,148460634650000337,4,0.445532272984769,55585.6065239,192.42621052,34.82470806,0.023504599928855896,0.023504599928855896,2.359679937362671,1.0369700193405151,8.370089926756918e-05,3.6087899388803635e-06,2.0218300819396973,1.470289945602417,13.598999977111816,0.016093499958515167,0.9724810123443604,0.9724810123443604,1.0676300525665283,0.018290799111127853,9.22623003134504e-05,1.4680899766972288e-06,0.7124670147895813,4.099579811096191,8.466879808111116e-05,4.834319952351507e-06,2.7071800231933594,3.496060162433423e-05,4.127879947191104e-06,35651585,128,7342144
